"year4","Acanthocyclops","Aglaodiaptomus Clavipes","Alona","Calanoid","Chydorus","Copepod Nauplii","Copepodites","Cyclopoid","Daphnia","Daphnia Mendotae","Daphnia Parvula","Daphnia Pulicaria","Daphnia Retrocurva","Diacyclops Thomasi","Diaphanosoma Birgei","Diaptomid","Mesocyclops Edax","Sinobosmina Fryei","Tropocyclops","Tropocyclops Prasinus Mexicanus","tot.zoops","tot.zoops.no.pred"
1996,0,3.86446708880223,0,0.15277932217726,0,9.92230581463385,0,4.82018605797106,4.55422791683341,0.22376889207,0,64.7461303030365,0,16.7258722557636,0,9.28700629963344,0.252958623686342,0.00611400693445434,0,0,114.555816581542,114.555816581542
1997,0.252271692972785,2.88121313380636,0,0.0219825302714203,0.157018790672452,7.45095466004977,0,20.2242316351887,1.98958721083969,0.0679058373237287,0,28.0637685273276,0,4.45176158064281,0,3.92332622803237,0.227473589298528,0,0,0,69.7114954164262,69.7114954164262
1998,0.0755194173590739,1.38124639495353,0,0.0827941038982338,0.0392865240715608,1.41103805906402,0,2.81358786115579,0.0389408546638384,0.188789262560442,0,10.8459591967282,0,6.55172788832644,0,4.19765864979775,0,0.00368034280199624,0,0,27.6302285553808,27.6302285553808
1999,0,3.89233300279732,0,0.127717424646405,0.127317612073884,15.220096656351,0,6.41146177489182,4.47297028306601,0.271938253768578,0,77.1505192657038,0,34.0189568940449,0,13.5555627112357,0,0,0,0,155.248873878579,155.248873878579
2000,0.41309032505776,4.24249574555954,0.0106761521718686,0.105541543629971,0.0434928566678854,5.52880483460703,0,1.58148041323566,0.0168641314020599,1.39368123310775,0,15.4351200166299,0,6.70716160450752,0,13.0734570151905,0.80176646945051,0.0124139309268684,0,0,49.3660462721448,49.3660462721448
2001,0,7.98848980520382,0,0,0.0331506408947679,2.24796064372252,0,1.01075438170745,0,1.95724422798414,0,13.9493969360768,0,6.62096560773242,0,7.92848637635706,0.366312615195078,0,0,0.0911815375210569,42.1939427723952,42.1939427723952
2002,0,5.23005809232995,0.0099922025599522,0,0.0125027538520959,0.420752597221665,0,0.114791454477428,0,1.27485695155243,0,20.6666409891896,0,3.8500811307023,0,19.6348150066814,0,0,0,0.126792950409491,51.3412841289762,51.3412841289762
2003,0.278613743599652,0.718319315265606,0,0,0,0,0,0.0614300356519756,1.49891078209051,0.711813289846566,0.721127074202676,8.40178028360705,0,0.644570744153719,0,2.96349623629534,0,0.0194485191731646,0,0,16.0195100238863,16.0195100238863
2004,0.145358578066185,0.993039478800436,0,0,0.123948523602951,0,0,0.0530735077488506,0,0.0231649018387676,0,9.39016306851002,0,1.86245045085009,0,1.50428205654411,0,1.2013115162733,0,0,15.2967920822347,15.2967920822347
2005,0,0.692386551191718,0,0,0.018954599332287,0,0,0.510210252297853,0.181593344622552,0.0425379113453226,0,32.4352751629556,0,0,0,0,0,0,0,0,33.8809578217454,33.8809578217454
2006,0,1.06708883347685,0,0,0.00934946122216211,0,0,1.91188892658981,2.04407749225523,0.0916636871092696,1.37524745829616,35.771445512254,0,0,0,0,0,0,0,0,42.2707613712034,42.2707613712034
2007,0,16.7887985955715,0,0,0.0740844553982649,0,0.796746665105886,0,0.426031177428632,0.61350151941826,4.55012783732159,69.1547863372476,0,0.282557753959601,0.00918160217330015,0.00209057246709072,0,0.012306893559197,0,0,92.7102134096509,92.7102134096509
2008,0.93804904456047,5.77085985057563,0,0,0.0286316091896942,0,0,0,0.435751008900026,0.0926025736360637,0,5.5788405154321,0,0,0,0,0,0.019517738194846,0,0,12.8642523404888,12.8642523404888
2009,0,2.28656473588885,0,0,0.0265931889182057,11.8967735402559,0.194374517178311,0,0,0.800073793047789,0,26.2105351368136,0,0,0.00732881373937412,0,0,0.00499274547649886,0,0,41.4272364713185,41.4272364713185
2010,0,0,0,0,0,0,0.014592960624195,0,0,1.86443742627658,0.0137631387116597,5.20154005648196,0.0316628879597686,0,0,0,0,0,0,0,7.12599647005416,7.12599647005416
2011,0,0,0,0,0.0134693695679594,6.46761139009534,8.14940075422814,0,0,1.68504993555967,0,6.55681984944166,0,1.01880173092481,0,33.4127450182914,0,0,0,0,57.303898048109,57.303898048109
2012,0,0,0,0,0,0,2.63683226697684,0,0,1.75545941769739,0,134.523298230167,0,0,0,21.5413632703884,0,0,0,0,160.456953185229,160.456953185229
2013,0,0,0,0,0.0399062010942257,0,1.78868641525004,0,0,0.135101898262347,0,7.1845242004186,0,0,0,75.2188599862292,0,0.0313239915368631,0,0,84.3984026927913,84.3984026927913
2014,0,0,0,0,0,0,1.04745698352258,0,0,0.67712920233917,0,0.0945393109419142,0,0,0,44.5313531207637,0,0,0,0,46.3504786175673,46.3504786175673
2015,0,0,0,0,0.0455658818285057,0,4.88689577233217,0,0,0.267407728218496,0,0,0,0,0,51.0839804547881,0,0,0,0,56.2838498371672,56.2838498371672
2016,0,0,0,0,0,0,3.6344203791451,0,0,0.27645097166997,0,1.68714652952736,0,0,0,11.9626635959396,0,0,0,0,17.560681476282,17.560681476282
2017,0,0,0,0,0.126040047335137,0,0,0,0,1.51040872673758,0.764833992771336,0,0.420180248453539,0,0,0,0,0.024889700668588,0,0,2.84635271596618,2.84635271596618
2018,0,0,0,0,0,0,0,0,0,0.782510972698547,0,0.127784736411317,0,0,0,0,0,0,0,0,0.910295709109864,0.910295709109864
